Name,Emulated,ReleaseDate,Developer,Manufacturer,Cpu,Memory,Graphics,Sound,Display,Media,MaxControllers,Notes,Category
XaviXPORT,true,,SSD COMPANY LIMITED,SSD COMPANY LIMITED,,,,,,ROM cartridge,,"The XaviXPORT is a home video game console developed by SSD COMPANY LIMITED and released in the United States on 2004 during the sixth generation of video game consoles. The console uses cartridges and wireless controllers. The controllers are shaped like sports equipment (such as baseball bats or tennis racquets), with users actions represented on the television screen through the use of sensors in the controllers. The MSRP for the XaviXPORT was USD $79.99, however as of 2013, the price was dropped to USD 39.99 for the standard kit. As of August 2016, the XaviXPORT is still available for purchase.",Consoles
Mattel HyperScan,true,2006-10-23,,Mattel,Sunplus SPG290 SoC,16 MB SDRAM system RAM,Sunplus SPG290 SoC,,640×480 native resolution,"CD-ROM, RFID cards",2,"The HyperScan is a video game console from Mattel. It uses radio frequency identification (RFID) along with traditional video game technology. It was marketed toward boys between the ages of five and nine who were not ready for high-end video games in terms of maturity or expense, though the included game was rated ""T"" by the ESRB, and the remaining titles were ""E10+"". The console used UDF format CD-ROMs. The HyperScan has two controller ports, as well as a 13.56 MHz RFID scanner that reads and writes to the ""cards"" which, in turn, activate features in and save data from the game. Players are able to enhance the abilities of their characters by scanning cards. Games retailed for $19.99 and the console itself for $69.99 at launch, but at the end of its very short lifespan, prices of the system were down to $9.99, the games $1.99, and booster packs $0.99.  The system was sold in two varieties, a cube, and a 2-player value pack. The cube box version was the version sold in stores. It included the system, controller, an X-Men game disc, and 6 X-Men cards. Two player value packs were sold online (but may have been liquidated in stores) and included an extra controller and 12 additional X-Men cards.",Consoles
Game Wave Family Entertainment System,true,2005-10-01,ZAPiT Games,ZAPiT Games,Mediamatics 8611,16 MB SRAM,,2 Channel D/A Full Stereo,"480p,480i,720p,720i,1080i",DVD,6,"The Game Wave Family Entertainment System is a hybrid DVD player and video game console. It was first released in Canada in October 2005. It is part of the seventh generation of gaming. It was released in the United States at an MSRP of $99. The Game Wave saved manufacturing costs by adding an Altera MAX II Complex Programmable Logic Device to an inexpensive DVD player. It was packaged with the pack-in game 4 Degrees: The Arc of Trivia, Vol. 1 (later changed to Veggie Tales: Veg-Out! Family Tournament).",Consoles
Sega CD 32X,true,1994-11-21,Sega,Sega,2 × SH-2 32-bit RISC,256 KB,SH2,Pulse-width modulation,320 × 240,"ROM cartridge, CD-ROM (with Sega CD)",2,"The 32X is an add-on for the Mega Drive/Genesis video game console. Codenamed ""Project Mars"", the 32X was designed to expand the power of the Genesis and serve as a transitional console into the 32-bit era until the release of the Sega Saturn. Independent of the Genesis, the 32X uses its own ROM cartridges and has its own library of games. The add-on was distributed under the name Super 32X in Japan, Genesis 32X in North America, Mega Drive 32X in the PAL region, and Mega 32X in Brazil.  Unveiled by Sega at June 1994's Consumer Electronics Show, the 32X was presented as a low-cost option for consumers looking to play 32-bit games. Developed in response to the Atari Jaguar and concerns that the Saturn would not make it to market by the end of 1994, the product was conceived as an entirely new console. At the suggestion of Sega of America executive Joe Miller and his team, the console was converted into an add-on to the existing Genesis and made more powerful. The final design contained two 32-bit central processing units and a 3D graphics processor. To bring the new add-on to market by its scheduled release date of November 1994, development of the new system and its games were rushed. The console failed to attract third-party video game developers and consumers because of the announcement of the Sega Saturn's simultaneous release in Japan. Sega's efforts to rush the 32X to market cut into available time for game development, resulting in a weak library of forty titles that could not fully use the add-on's hardware, including Genesis ports. By the end of 1994, the 32X had sold 665,000 units. After price reductions in 1995, it was discontinued in 1996 as Sega turned its focus to the Saturn.  The 32X is considered a commercial failure. Reception after the add-on's unveiling and launch was positive, highlighting the low price of the system and power expansion to the Genesis. Later reviews, both contemporary and retrospective, for the 32X have been mostly negative because of its shallow game library, poor market timing and the resulting market fragmentation for the Genesis.",Consoles
Aamber Pegasus,true,1981-01-01,Technosys Research Labs,Technosys Research Labs,MC6809C,"4k RAM, later versions had 64k",,,,,,"The Aamber Pegasus is a home computer designed by Technosys Research Labs. The computer was released in early 1981 in New Zealand for an unknown retail price. The computer was not released outside of New Zealand. The Pegasus sold around only 100 units when it was first released, due to the popularity of Apple II computers. The computers were manufactured until Technosys's collapse in late 1981.",Computers
Apogee BK-01,true,1988-01-01,,ARB Plant,"KR580VM80A, 1.78 MHz","56.25 kb RAM, 4 kb ROM",Text Only with a Character Generator," KR580VI53, 3-Channel, 1 Bit per channel","64 x 25 Characters, 6 x 8 Pixels","CD, Cassette",,"The Apogee BK-01 or Apogey BK-01 is a Soviet 8-bit personal computer built on the Radio 86RK and released in 1988. Its later version, the Apogee BK-01C featured color support.",Computers
Commodore MAX Machine,true,1982-01-01,Commodore,Commodore,"MOS Technology 6510, 1.02 MHz",2 KB RAM,VIC-II 6566,SID Sound Chip,320 x 200,ROM Cartridge,1,"The Commodore MAX Machine, also known as Ultimax in the United States and VC-10 in Germany, was a home computer designed and sold by Commodore International in Japan, beginning in early 1982, a predecessor to the popular Commodore 64. The Commodore 64 manual mentions the machine by name, suggesting that Commodore intended to sell the machine internationally; however, it is unclear whether the machine was ever actually sold outside Japan. It is considered a rarity.",Computers
Commodore PET,true,1977-10-01,Commodore,Commodore,"MOS Technology 6502, 1 MHz",4 KB up to 96 KB,TTL Video Circuit,None,40 x 25,"Cassette Tape, 5.25"" Floppy, 8"" Floppy",1,"The Commodore PET (Personal Electronic Transactor) is a line of home/personal computers produced starting in 1977 by Commodore International. A top-seller in the Canadian and United States educational markets, it was Commodore's first full-featured computer, and formed the basis for their entire 8-bit product line, including the Commodore 64. The first model, which was named the PET 2001, was the first personal computer ever made available to retail consumers.",Computers
Exelvision EXL 100,true,1994-09-01,Exelvision,Exelvision,"TMS 7020, 4.91 MHz",34 KB RAM,8 Colors,TMS-5220A,320 x 200,"ROM Cartridge, Cassette Tape, 3.4"" Floppy",2,The EXL 100 of the French brand Exelvision is a microprocessor computer based on the TMS7020 from Texas Instruments. It was original for the time because almost all home computers in France were equipped with microprocessors of the series 6502 of MOS Technology or the Zilog Z80.,Computers
Exidy Sorcerer,true,1978-01-01,Exidy,Exidy,"Zilog Z80, 2.106 MHz",4 KB RAM,Monochrome Graphics,None,64 x 30 Character Display,Cassette Tape,1,"The Sorcerer is one of the early home computer systems, released in 1978 by the videogame company Exidy. It was comparatively advanced when released, especially when compared to the contemporary more commercially successful Commodore PET and TRS-80, but due to a number of problems, including a lack of marketing, the machine remained relatively unknown.",Computers
Fujitsu FM-7,true,1982-11-01,Fujitsu,Fujitsu,"2x MBL 68B09, 2 MHz",64KB RAM,8 - 262144 Colors,3-Channel AY-3-8910 PSG Chip,640 x 200,"Cassette Tape, 5.25"" Floppy",1,"The FM-7 (""Fujitsu Micro 7"") is a home computer created by Fujitsu, first released in 1982, only sold in Japan. It is a stripped down version of their earlier FM-8; during development, the FM-7 was known as the ""FM-8 Jr."".",Computers
Hector HRX,true,1983-01-01,Micronique,Micronique,"Zilog Z80A, 5 MHz",64 KB RAM,4 Colors,1 Channel,243 x 231,"Cassette Tape, Floppy",2,"The Hector HRX follows the 2HR, and takes over exactly the same machine, while technically stretching it on certain points. The main evolution comes from the amount of RAM that goes to 64 KB, allowing it to display double the number of colors on screen. The machine also now has a cartridge port, which ultimately was used very little, mostly only near the end of its life. It is indeed the last machine of the French firm for the Victor / Hector range.",Computers
Lviv PC-01,true,1987-01-01,,,i8080,48 KB RAM,"16 KB VRAM, 4 Color Palette",,256 x 256,Cassette Tape,1,The Lviv PC-01 was an i8080 clone first introduced in the city of Lviv in the Soviet Union. The PC-01 started to appear in computer shops in 1987 but was in development since the early 1980s.,Computers
Matra and Hachette Alice,true,1983-09-23,,"Matra, Hachette, & Tandy",Motorola 6803,4 KiB on-board,,,SCART,Cassette,,"The Matra & Hachette Ordinateur Alice was a home computer sold in France beginning in 1983. It was a clone of the TRS-80 MC-10, produced through a collaboration between Matra and Hachette in France and Tandy Corporation in the United States. The Alice is distinguished by its unique, bright red casing. Functionally, it is equivalent to the MC-10, with a Péritel (SCART) connector replacing the RF modulator for video output.Unlike its progenitor, the Alice became a popular computer in its home country, aided by its presence in schools as part of the country's Informatique pour tous (""Information technology for everyone"") programme. ",Computers
Microsoft MSX2,true,,Microsoft,Various,Zilog Z80A,"64 KB minimum, 128 KB common, 512 KB some",Yamaha V9938,Yamaha YM2149,512×212 and 256×212 plus text mode 80×24,"Cassette tape, Cartridge, Floppy disk",,"The MSX2 was the second generation of the MSX1 standard, unofficially also known as ""MSX2"", released by Microsoft in 1985.",Computers
Microsoft MSX2+,true,,Microsoft,Various,Zilog Z80A,"64 KB minimum, 128 KB common, 512 KB some",Yamaha V9958,Yamaha YM2149,256×212,"Cassette tape, Cartridge, Floppy disk",,"After 1986, Microsoft stopped with supporting MSX and ASCII in Japan took over further development of the MSX system. Due to ASCII's lack of interest in European market the MSX2+ was never manufactured and sold outside Japan. Rumours and plans existed in the Netherlands to make a European MSX2+, but they never came to reality.",Computers
NEC PC-8801,true,1981-12-11,NEC,NEC,uPD780C-1 (Z80A compatible),64 KB (up to 576 KB),,3 FM channels + 3 SSG + 6 rhythms + 1 ADPCM,"640 x 200 (8 colours), 640 x 400 (Monochrome)",Cassette tape,,"Featuring a 4MHz Z80A-compatible processor and a 640x200-pixel, 8-color display, the PC-8801 was twice as fast as the PC-8001, with eight times as many pixels and up to four times as much RAM. However, the biggest selling point was its backwards compatibility with PC-8001 software, providing a smooth upgrade path for customers who had already bought into the NEC ecosystem. Games were not the primary focus, as NEC intended to sell its high-end 8-bit machine to a whole spectrum of customers ranging from computer enthusiasts to small businesses and educational institutions.   Major models: - PC-8801 (November 1981). Original model. - PC-8801mkII (November 1983). Minor upgrade over original model. Built-in floppy disk drives. - PC-8801mkIISR (January 1985). Graphics significantly upgraded with the introduction of a new V2 mode, and built-in FM synthesis using a YM2203 (OPN) chip. This model marks the repositioning of the PC-8801 as a system for hobbyists and gamers. - PC-8801FH (November 1986). CPU upgraded to 8MHz, but switchable to 4MHz for compatibility. A sleek jet-black model was also available. - PC-88VA (March 1987). Featuring a 16-bit CPU, up to 65536 colors, a video processor providing hardware-based scrolling and spriting, and a custom OS, the PC-88VA was a powerhouse of a system that was unfortunately plagued by compatibility problems, and ultimately overshadowed by the Sharp X68000. Although technically part of the PC-8801 series, it's best to think of the PC-88VA as a completely separate system. - PC-8801FA (October 1987). Audio upgraded to the Yamaha YM2608 (OPNA) FM synthesis chip. Older models could also be upgraded to OPNA by purchasing the Sound Board II expansion board. - PC-98DO (June 1989). A hybrid computer that could switch between PC-8801 and PC-9801 modes. - PC-8801MC (November 1989). Included a built-in CD-ROM drive, but very few games took advantage of it.",Computers
NEC PC-9801,true,1982-10-01,,NEC,8086 @ 5 MHz,"128 KB RAM, expandable to 640 KB","Two µPD7220 display controllers (one for text, the other for video graphics)",Commonly PC-9801-26 sound card ,8-color display running at 640 x 400 resolution,"8"" floppy diskette",,"The PC-9800 series, commonly shortened to PC-98, is a lineup of Japanese 16-bit and 32-bit personal computers manufactured by NEC from 1982 through 2000. The platform established NEC's dominance in the Japanese personal computer market, and by 1999, more than 18 million PC-98 units had been sold. The first model, the PC-9801, was launched on October 1982, and employed an 8086 CPU. It ran at a clock speed of 5 MHz, with two µPD7220 display controllers (one for text, the other for video graphics), and shipped with 128 KB of RAM, expandable to 640 KB. Its 8-color display had a maximum resolution of 640×400 pixels. Its successor, the PC-9801E, which appeared in 1983, employed an 8086-2 CPU, which could selectively run at a speed of either 5 or 8 MHz. The NEC PC-9801VM used NEC V30 CPU.  When the PC-9801 was launched in 1982, it was initially priced at 298,000 yen (about US$1,200 in 1982 dollars). In the 1980s and early 1990s, NEC dominated the Japan domestic PC market with more than 60% of the PCs sold as PC-9801 or PC-8801.",Computers
Nintendo 64DD,true,1999-12-01,"Nintendo, Alps Electric",Alps Electric,,,,,,Magnetic disk (64 MB),,"The 64DD, colloquially referred to as the Nintendo 64DD, is a magnetic disk drive peripheral for the Nintendo 64 game console developed by Nintendo. It was originally announced in 1995, prior to the Nintendo 64's 1996 launch, and after numerous delays was finally released only in Japan on December 1, 1999. Only ten software titles were released until the unit was discontinued in February 2001. It was a commercial failure, with at least 15,000 total units sold and another 85,000 units unsold.",Consoles
Nintendo Pokemon Mini,true,2001-11-16,Nintendo,Nintendo,Timex S1C88,4 KB RAM,,,"Monochrome LCD, 96 × 64 pixels",ROM cartridge,,"The Pokémon Mini is a handheld game console that was designed and manufactured by Nintendo and themed around the Pokémon media franchise. It is the smallest game system with interchangeable cartridges ever produced by Nintendo, weighing just under two and a half ounces (70 grams). It was first released in North America on November 16, 2001, then in Japan on December 14, 2001, and in Europe on March 15, 2002. The systems were released in three colors: Wooper Blue, Chikorita Green, and Smoochum Purple.  Features of the Pokémon mini include an internal real-time clock, an infrared port used to facilitate multiplayer gaming, a reed switch for detecting shakes, and a motor used to implement force feedback. The GameCube game Pokémon Channel features playable demo versions of several Pokémon mini games via console emulation. Also included in the game is Snorlax's Lunch Time, a Pokémon Channel exclusive. Some games were only released in Japan, such as Togepi's Adventure.",Handhelds
Othello Multivision,true,1983-07-15,Tsukuda Original,Tsukuda Original,Zilog Z80A,1 Kb + 2 KB of embedded game,Texas Instruments TMS9918A,Texas Instruments SN76489,256 x 192,ROM cartridge,1,"The Othello Multivision is an SG-1000 clone manufactured by Tsukuda Original. It exists because Sega's original intention for the SC-3000 computer was to allow other manufacturers to produce compatible computers in the hope of having a worldwide standard. Unfortunately, possibly with the emergance of the MSX, this tactic failed, and very few SG-1000/SC-3000 compatible machines were produced. The Othello Multivision was one of those machines.  Similar to the SG-1000, there are two versions of the Othello Multivision, named the FG-1000 (released 1983) and FG-2000 (released 1984) respectively. As well as being able to run SG-1000 and SC-3000 cartridges, the Othello Multivision saw a number of games and software released with Othello Multivision branding. The system also came with the game Othello built-in.  One of the major problems with the Othello Multivision is that rather than rely on external game controllers, all the controls are built into the unit. It is compatible with several SG-1000 add-ons, however, including the SK-1100 which would enable the SC-3000's keyboard functions. FG-1000 models shipped with an overlay which would explain the functions of each key.  The FG-2000 model brought support for a second controller. This model can easily be identified by the fact it uses blue keys rather than red ones and the fact the built-in joystick has been replaced with a directional pad.",Consoles
VTech Socrates,true,,VTech,VTech,Zilog Z80A,,Custom,,,Cartridge,2,"The VTech Socrates is an educational video game console released in 1988 by VTech. The console features a robot character Socrates, named after the philosopher. The character is visually similar to Johnny Five from the Short Circuit movies.  The system features standard wireless controllers that communicated via infrared reception.",Consoles
Vector-06C,true,,,,KR580VM80A,64 KB,,KR580VI53,512×256,Cassette tape,,Vector-06C is a home computer with unique graphics capabilities that was designed and mass-produced in USSR in the late 1980s.,Computers
Tomy Tutor,true,,Tomy,Matsushita,TMS 9995,16KB,,,256 x 192,,,"The Tomy Tutor, originally sold in Japan as the Pyuta and in the UK as the Grandstand Tutor, is a home computer produced by the Japanese toymaker Tomy. It was architecturally similar, but not identical, to the Texas Instruments TI-99/4A, and used a similar 16-bit CPU. The computer was launched on the UK and European markets in late 1983. Outside Japan, however, sales were not significant.",Computers
Spectravideo,true,,,,,,,,,,,"Spectravideo, or SVI (Spectravideo International), was an American computer company founded in 1981 as ""SpectraVision"" by Harry Fox. They originally made video games for Atari 2600 and VIC-20. Some of their computers were MSX-compliant or IBM PC compatible. They ceased operations in 1988.",Computers
Sony PSP Minis,true,2009-10-01,,,,,,,,,,"PlayStation minis launched on October 1, 2009 for the PSP and the PSPGo in all regions. Under 100MB these games are smaller, cheaper, and download only. In December of 2009, an update was released on the PlayStation 3 (3.15) which enables most Minis to be played on the home console.",Handhelds
Sony PocketStation,true,1999-01-23,Sony Computer Entertainment,Sony,ARM7T,2 KB,,1 miniature speaker (10-bit PCM),32×32 dot monochrome LCD,PlayStation CD-ROM (used for content transfer),1,"The PocketStation is a Memory Card peripheral by Sony Computer Entertainment for the PlayStation home video game console. Categorized by Sony as a combination of a Memory Card and a miniature personal digital assistant, the device features a monochrome liquid crystal display (LCD), infrared communication capability, a real-time clock, built-in flash memory, and sound capability. To use the device's memory card functionality, it must be connected to a PlayStation through a memory card slot. It was released exclusively in Japan on January 23, 1999.  Software for the PocketStation was typically distributed as extras for PlayStation games, included in the CD-ROM, enhancing the games with added features. Stand-alone software could also be downloaded through the PlayStation console. The software is then transferred to the PocketStation for use. A built-in infrared data interface allows direct transfer of data such as game saves between PocketStation units, as well as multiplayer gaming.  The original Japanese ship date for the PocketStation was set for December 23, 1998, but it was delayed a full month. Sony only shipped an initial 60,000 units of the peripheral when it was released on January 23, 1999. It was initially available in two case colors: white and clear. It proved extremely popular, selling out all over the region. Sony planned to release the PocketStation outside Japan, engaging in promotional activity in Europe and North America, but the release did not occur. SCEA cited an inability meeting Japanese demand as the reason for the PocketStation's absence. A few games, such as Final Fantasy VIII and SaGa Frontier 2, retained PocketStation functionality in their localized versions.  The PocketStation's most popular game was Dokodemo Issho, which sold over 1.5 million copies in Japan and is the first game to star Sony's mascot Toro. The PocketStation was discontinued in July 2002 after having shipped nearly five million units.  On November 5, 2013, it was announced that the PocketStation would be revived as an application for the PlayStation Vita, allowing users to play PocketStation format minigames for any classic PlayStation games that they own. Originally it was only available to PlayStation Plus members, it was later released to the general public. It remains an exclusive to the Japanese PlayStation Vitas.  The PocketStation also shares similarities with Sega's VMU for the Dreamcast.",Handhelds
Sharp X1,true,,Sharp,Sharp,Sharp Z80 A,64 KB,,General Instrument AY-3-8910 or Yamaha YM2149,320 x 200 / 640 x 200,Cassette tape,,"The X1, sometimes called the Sharp X1, is a series of home computers released by Sharp Corporation from 1982 to 1988. It was based on a Z80 CPU.  Despite the fact that the Computer Division of Sharp Corporation had released the MZ series, suddenly the Television Division released a new computer series called the X1. At the time the original X1 was released, all other home computers generally had a BASIC language in ROM. However the X1 did not have a BASIC ROM, and it had to load the Hu-BASIC interpreter from a cassette tape. On the plus side however, this concept meant that a free RAM area was available that was as big as possible when not using BASIC. This policy was originally copied from the Sharp MZ series, and they were called clean computers in Japan. The cabinet shape of X1 was also much more stylish than others at that time and a range of cabinet colors (including Red) was selectable.  The RGB display monitor for the X1 had a television tuner, and a computer screen could be super-imposed on TV. All the TV functions could be controlled from a computer program. The character font was completely programmable (A.K.A. PCG) with 4bit color, and it was effectively used into a lot of games. The entirety of the VRAM memory was mapped on to the I/O area, so it was controlled without bank change. Since X1 had these features, it was very powerful for game software.  While X1 was struggling to sell, the PC8801 (from NEC) was quickly becoming popular in the Japanese market. In 1984, Sharp released the X1 turbo series with high resolution graphics (640x400, while X1 had 640x200). It had a lot of improvements, but the clock speed was still only 4 MHz. In 1986, Sharp released the X1 turbo Z series with a 4096 color analog RGB monitor. An X1 twin, which had a PC-Engine in the cabinet, was finally released as the last machine of the X1 series in 1987. Then this series was succeeded by the X68000 series.",Computers
Sharp MZ-2500,true,,Sharp,Sharp,Zilog Z80B,128 KB,,YM2203 FM,320 x 200 / 640 X 200 / 640 x 400,Floppy disk,,"The Sharp MZ-2500 (SuperMZ) series was launched on the Japan market in 1985, the computers in this series all used a Z80B processor running at 6MHz. They included a data recorder and at least one 3.5 internal floppy disk drive, as well as a YM2203 FM sound chip, hardware scrolling, and a palette of 256 colors (upgradable to 4096) and it takes from 2 to 8 seconds to define P.C.G (user generated characters, similar to sprites).  This makes them among the most powerful 8-bit machines ever released for home use. Some models are also compatible with the MZ-80B and MZ-2000.",Computers
Sega Triforce,true,,SEGA/Namco/Nintendo,SEGA/Namco/Nintendo,"IBM Power PC ""Gekko""",48 MB MoSys 1T-SRAM,"""Flipper"" (Custom ATI/Nintendo)",Custom Macronix 16bit DSP,15k / 31k,GD-ROM,2,"The Triforce is an arcade system board developed jointly by Namco, Sega, and Nintendo, with the first games appearing in 2002. The name ""Triforce"" is a reference to Nintendo's Legend of Zelda series of games, and symbolized the three companies' involvement in the project. The system hardware is based on the Nintendo GameCube with several differences, like provisions for add-ons such as Sega's GD-ROM system and upgradeable RAM modules.",Arcade
Sega Hikaru,true,1999-05-01,,Sega,2× Hitachi SH-4 @ 200 MHz,100 MB,2× NEC-VideoLogic PowerVR 2 (PVR2DC/CLX2) @ 100 MHz,2× Yamaha AICA Super Intelligent Sound Processor @ 45 MHz,"Single monitor: 496×384 to 800×608 pixels, Dual monitor: 992×768 to 1600×608 pixels","ROM Board, up to 352 MB",,"An evolution of the NAOMI hardware with superior graphics capabilities, the Hikaru was used for a handful of deluxe dedicated-cabinet games, beginning with 1999's Brave Fire Fighters, in which the flame and water effects were largely a showpiece for the hardware. The Hikaru hardware was the first arcade platform capable of effective Phong shading. Since it was comparatively expensive to produce, and most games did not necessarily need Hikaru's extended graphics capabilities, Sega soon abandoned the system in favor of continued NAOMI and NAOMI 2 development.",Arcade
Radio-86RK Mikrosha,true,,,Various,K580IK80A,16 KB,,,25x80,,,"The Radio-86RK was the second DIY computer featured in Radio magazine, in an edition published in 1986. It was more popular than the Micro-80 because it was much simpler (29 ICs, i8080 @1.78 MHz with i8257 and i8275-based CRT terminal). Many factories started production of home computers based on this design (such as the Apogey BK-01, Mikrosha, Krista, Partner 01.01, and the Spektr-001). These computers had limited compatibility with the original software, although their schematics were very close to the original.",Computers
SNK Neo Geo MVS,true,1990-01-31,SNK,SNK,"Motorola 68000, Zilog Z80A co-processor",64 KB main + 2 KB sound and 68 KB video RAM,"SNK chipset (LSPC2-A2, PRO-B0, PRO-A0)",Yamaha YM2610 15 sound channels,320x224,Cartridge,2,"The Neo Geo, stylised as NEO·GEO, also written as NEOGEO, is a cartridge-based arcade system board and fourth-generation home video game console released on April 26, 1990, by Japanese game company SNK Corporation. It was the first system in SNK's Neo Geo family. The Neo Geo was marketed as 24-bit; its CPU is technically a parallel processing 16/32-bit 68000-based system with an 8/16-bit Z80 coprocessor much like the Sega Genesis, while its GPU chipset has a 24-bit graphics data bus.  The Neo Geo originally launched as the MVS (Multi Video System) coin-operated arcade machine. The MVS offers owners the ability to put up to six different cartridges into a single cabinet, a unique feature that was also a key economic consideration for operators with limited floorspace, as well as saving money in the long-run. With its games stored on self-contained cartridges, a game cabinet can be exchanged for a different game title by swapping the game's ROM Cartridge and cabinet artwork. A home console version was also made, called AES (Advanced Entertainment System). It was originally launched as a rental console for video game stores in Japan (called Neo Geo Rental System), with its high price causing SNK not to release it for home use – this was later reversed due to high demand and it came into the market as a luxury console. The AES had the same raw specs as the MVS and had full compatibility, thus managed to bring a true arcade experience to home users. As of 2013 it was the most expensive home video game console ever released, costing US$1,125 adjusted for inflation. The Neo Geo was revived along with the brand overall in December 2012 through the introduction of the Neo Geo X handheld and home system.",Arcade
Nintendo Switch,true,2017-03-03,Nintendo,Nintendo PTD,Octa-core (4×ARM Cortex-A57 & 4×ARM Cortex-A53) @ 1.020 GHz,4 GB LPDDR4,"Nvidia GM20B Maxwell-based GPU @ 307.2 - 384 MHz while undocked, 307.2 - 768 MHz while docked","Linear PCM 5.1ch (via HDMI), Stereo speakers, Headphone jack","6.2-inch, 1280 × 720 LCD @ 237 ppi Up to 1080p via HDMI while docked",Nintendo Game Card,8,"The Nintendo Switch is an eighth generation (2012-present) home video game console developed and distributed by Nintendo. It was released on March 3, 2017 in North America at a retail price of $299.99. The console was simultaneously released in Japan (2017), Europe (2017), South America (2017), Australia (2017) and other World Wide Markets (2017). The Switch is designed to be a hybrid console, allowing games to be played at a TV, and then on the go by undocking the system and playing from the handheld unit itself. As of this date, the console is still in production.",Consoles
Windows 3.X,false,1990-05-22,Microsoft,,,,,,,,,"Windows 3.0, a graphical environment, is the third major release of Microsoft Windows, and was released on May 22, 1990. It became the first widely successful version of Windows and a rival to Apple Macintosh and the Commodore Amiga on the graphical user interface (GUI) front. It was followed by Windows 3.1.  Windows 3.0 originated in 1989 when David Weise and Murray Sargent independently decided to develop a protected mode Windows as an experiment. They cobbled together a rough prototype and presented it to company executives, who were impressed enough to approve it as an official project. Windows 3.0 succeeded Windows 2.1x and included a significantly revamped user interface as well as technical improvements to make better use of the memory management capabilities of Intel's 80286 and 80386 processors. Text mode programs written for MS-DOS can be run within a window — a feature previously available in a more limited form with Windows/386 2.1 — making the system usable as a crude multitasking base for legacy programs. However, this was of limited use for the home market, where most games and entertainment programs continued to require raw DOS access.",
Nokia N-Gage,false,2003-10-07,Nokia,Nokia,ARM920T @ 104 MHz,3.4 MB internal memory,,"Mono, Stereo for MP3 and FM radio only","TFT, 4096 colors, 35 x 41 mm, 176 x 208 pixels",MultiMediaCard (MMC),1,"The N-Gage is a PDA combining features of a telephone and a handheld game system from Nokia, released on 7 October 2003. It runs the original Series 60 platform on Symbian OS v6.1, and it's able to run all Series 60 software as well as Java MIDP apps. Multiplayer gaming was accomplished with Bluetooth or the Internet (via the N-Gage Arena service). The N-Gage also included MP3 and Real Audio/Video playback. While the N-Gage did not have any significant financial successes, it did have a handful of critical successes.",
XaviXPORT,false,,,,,,,,,,,,
Mattel HyperScan,false,2006-10-23,,Mattel,Sunplus SPG290 SoC,16 MB SDRAM system RAM,Sunplus SPG290 SoC,,"640×480 native resolution, 65,535 colors (RGB 565 mode)",CD-ROM,2,"The HyperScan is a video game console from the toy company Mattel. It uses radio frequency identification (RFID) along with traditional video game technology. The included game was rated ""T"" and the remaining titles were rated ""E10+"", by the ESRB, despite this, it was marketed toward boys between the ages of five and nine who were not ready for high-end video games in terms of maturity or expense. The console used UDF format CD-ROMs. The HyperScan has two controller ports, as well as a 13.56 MHz RFID scanner that reads and writes to the ""cards"" which, in turn, activate features in and save data from the game. Players are able to enhance the abilities of their characters by scanning cards. Games retailed for $19.99 and the console itself for $69.99 at launch, but at the end of its very short lifespan, prices of the system were down to $9.99, the games $1.99, and booster packs $0.99.",
GameWave,false,2005-10-01,,ZAPiT Games,Altera MAX II,,,,,DVD-ROM,4,"The Game Wave Family Entertainment System, commonly abbreviated as Game Wave, is a hybrid DVD player and home video game console manufactured by ZAPiT Games. It was first released in Canada in October 2005. It is part of the seventh generation of video game consoles.",
Taito Type X,false,,,,,,,,,,,,
Linux,false,1991-09-17,Community,	Community,,,,,,,1,"is a name that broadly denotes a family of free and open-source software operating systems (OS) built around the Linux kernel. Typically, Linux is packaged in a form known as a Linux distribution (or distro for short) for both desktop and server use. The defining component of a Linux distribution is the Linux kernel, an operating system kernel first released on September 17, 1991, by Linus Torvalds. Many Linux distributions use the word ""Linux"" in their name. The Free Software Foundation uses the name GNU/Linux to refer to the operating system family, as well as specific distributions, to emphasize that most Linux distributions are not just the Linux kernel, and that they have in common not only the kernel, but also numerous utilities and libraries, a large proportion of which are from the GNU project. This has led to some controversy",
